;Longitude,Latitude
18.17232161,40.35290346
18.172375,40.35293319
18.17284361,40.35329277
18.17416761,40.35345261
18.17993808,40.35198955
18.181194,40.35060573
18.18048768,40.34880963
18.18246662,40.34833255
18.18269153,40.34744866
18.18339419,40.34710366
18.18293192,40.3482156
18.18276429,40.34739233
18.18297886,40.34821772
18.1929875,40.345264
18.20126782,40.34526872
18.22877331,40.33797803
18.23582601,40.33511737
18.23596931,40.3344319
18.23619967,40.33500491
18.23643551,40.3345588
18.23723607,40.33461446
18.24384101,40.33240532
18.27577916,40.31653069
18.27677035,40.31701827
18.27612025,40.31634526
18.27677035,40.31700827
18.27625084,40.31624727
18.28123075,40.31344867
18.29774246,40.29556426
18.30875013,40.29008445
18.31695048,40.29039885
18.31950632,40.28988183
18.3245242,40.28748312
18.32979156,40.28335006
18.3379113,40.27836696
18.34103991,40.27815236
18.34420737,40.27904545
18.34396578,40.27224756
18.3460529,40.27284572
18.35290175,40.27612305
18.35508806,40.27650618
18.36166252,40.27546951
18.37819825,40.27132558
18.383289,40.27076464
18.39071567,40.2737703
18.39771283,40.27445647
18.41175165,40.27738025
18.41331773,40.27735208
18.41948859,40.27552584
18.42627607,40.27458061
18.4270909,40.27479985
18.42726982,40.27568392
18.42864775,40.2755835
18.42798919,40.27572591
18.42807778,40.27617641
18.42884328,40.27645447
18.42819971,40.27674616
18.43018463,40.27593392
18.43046403,40.27535365
18.42991987,40.27455519
18.4285805,40.27422988
18.42819521,40.27371618
18.42928056,40.27372303
18.42952559,40.27335607
18.42705695,40.27325476
18.42803568,40.27355078
18.42916885,40.27053282
18.43149022,40.26791582
18.43188742,40.26522914
18.43866957,40.2538554
18.44415,40.23964869
18.44343024,40.22947775
18.44131152,40.22546808
18.44093358,40.2243247
18.44117515,40.22341345
18.44433725,40.21736272
18.45073865,40.21094335
18.45380257,40.2142584
18.4547899,40.21406953
18.45739673,40.21583235
18.45801272,40.21735526
18.45746982,40.21589622
18.45610567,40.21474933
18.45894059,40.21335564
18.45600852,40.21479666
18.45398438,40.21350696
18.45303926,40.21368547
18.45326613,40.2134947
18.45229651,40.21235143
18.45066062,40.21104064
18.45456189,40.20688132
18.45656332,40.20539445
18.45709071,40.20430838
18.45713398,40.20312519
18.45654236,40.20239379
18.45361627,40.20000855
18.4535011,40.19219678
18.45720303,40.18551666
18.46068772,40.18109372
18.46204852,40.17787999
18.46686764,40.17982546
18.47014773,40.18022519
18.47196124,40.17099283
18.47532085,40.16409939
18.47653371,40.15756035
18.47612417,40.15646188
18.48198152,40.15087151
18.48368668,40.15024924
18.48316212,40.14869926
18.4841801,40.14987448
18.48308494,40.14905965
18.48363178,40.14820741
18.48547912,40.14845825
18.48759832,40.1462623
18.48881244,40.14659582
18.48861496,40.14634671
18.48943186,40.14631964
18.49066677,40.14681322
18.4900859,40.14643176
18.49148017,40.14629499
18.49294639,40.14512086
18.4919254,40.14471205
18.49007249,40.14584788
18.49073852,40.14575509
18.49066897,40.14571812
18.49050578,40.14622238
18.48790895,40.14663589
18.48584885,40.14801747
18.48321461,40.14894032
18.48314024,40.14856554
18.48350602,40.14856397
18.48346464,40.14904208
18.48373686,40.14848952
18.48348426,40.14848482
18.48344193,40.14849005
18.48432041,40.14756703
18.48502996,40.14814203
18.48580099,40.14806056
18.48796858,40.14588702
18.48646718,40.14300029
18.48756976,40.14291038
18.48852611,40.14217116
18.48612632,40.14015313
18.48541377,40.14015941
18.48562801,40.13954745
18.48414794,40.13456927
18.48501351,40.13692872
18.48600484,40.13775037
18.48903523,40.13718468
18.4868862,40.13784394
18.48554978,40.13895007
18.48445455,40.13552674
18.48480516,40.13518132
18.48440624,40.13401282
18.48656869,40.12751224
18.48724033,40.12359035
18.48693727,40.12126945
18.48725173,40.11900033
18.48949182,40.11499275
18.4900657,40.11191433
18.48898335,40.11125311
18.4890511,40.10959841
18.49039614,40.10777504
18.48992715,40.10494142
18.49187329,40.10009503
18.4904195,40.0988021
18.4900574,40.09785243
18.49032196,40.0943479
18.48893778,40.09040871
18.48526069,40.08574728
18.48256627,40.08383965
18.4811171,40.08356254
18.4804903,40.08173749
18.4829804,40.08080272
18.4831363,40.07990652
18.48153119,40.0772494
18.4822082,40.07588231
18.48082574,40.07384113
18.48046214,40.07251611
18.48088425,40.0717967
18.48021858,40.07079489
18.48051933,40.06983659
18.47868509,40.06911365
18.47980583,40.06738457
18.47976957,40.06626534
18.4749037,40.06364739
18.47424195,40.06190054
18.47421144,40.06071331
18.47531942,40.05811343
18.47505003,40.05733978
18.47550678,40.05628249
18.4741939,40.05368502
18.47477175,40.0506189
18.47314837,40.04537244
18.47089327,40.04262292
18.46827912,40.04105171
18.46730651,40.03936529
18.46550038,40.03819719
18.46399513,40.03794364
18.46461282,40.03798536
18.4639913,40.03764078
18.46179801,40.03737862
18.46179994,40.03752108
18.46173805,40.03748261
18.4598181,40.03687889
18.46080392,40.03696754
18.46098452,40.03624714
18.45641102,40.03524215
18.45491856,40.0359013
18.45421639,40.03514314
18.45414833,40.0359013
18.45237181,40.03476531
18.45162632,40.03330241
18.44955876,40.03239722
18.4464774,40.03350799
18.44545981,40.03298228
18.44406666,40.03319946
18.44086731,40.02874917
18.4349926,40.02509108
18.43407537,40.02376355
18.43366765,40.02285244
18.43426966,40.02114502
18.43340789,40.01947822
18.43244423,40.01570905
18.43106325,40.01337687
18.4300311,40.01244799
18.42943071,40.01068256
18.4299415,40.00707812
18.42928173,40.00573054
18.42877362,40.00236975
18.42728787,40.00300267
18.42455939,40.00581715
18.422104,40.006645
18.42169681,40.00623588
18.42347425,40.00474032
18.42357785,40.00351352
18.42164098,40.00231058
18.42162724,40.00060737
18.41876566,39.99866068
18.41587029,39.99551587
18.41439114,39.99237984
18.41155744,39.9915483
18.41217703,39.99098945
18.41366309,39.99092793
18.41384933,39.99048519
18.41235417,39.98792304
