;Longitude,Latitude
18.226050138474,40.36802551359
18.227793574333,40.368479185651
18.231934905052,40.369635831234
18.23648929596,40.370919153278
18.240528702736,40.372088017696
18.242556452751,40.372643834222
18.24266910553,40.372656094829
18.2427495718,40.372643834222
18.242894411087,40.372560053348
18.242993652821,40.372500793643
18.243146538734,40.372451751088
18.243312835693,40.372423142915
18.245388865471,40.37299939092
18.24520111084,40.373371293044
18.251305818558,40.375003959953
18.25840562582,40.376877697877
18.258537054062,40.376818441969
18.25873285532,40.376938997038
18.258915245533,40.377002339446
18.279216885567,40.382455693144
18.279640674591,40.381413685152
18.279967904091,40.381148072694
18.281003236771,40.381540361494
18.284479379654,40.382410744112
18.2838088274,40.383681564264
18.284854888916,40.383983942377
18.28631401062,40.383501771229
18.287215232849,40.38273355922
18.29173207283,40.380812990868
18.303002715111,40.374315343064
18.304654955864,40.374601416217
18.305851221085,40.374818013653
18.306452035904,40.374846620809
18.310968875885,40.375778390124
18.311693072319,40.375461671736
18.31215441227,40.375606749376
