;Longitude,Latitude
18.188488483429,40.36526663125
18.188982009888,40.366116787772
18.189475536346,40.366656304618
18.190398216248,40.367473746156
18.191245794296,40.368225783615
18.19229722023,40.369026857765
18.192415237427,40.369239386044
18.19224357605,40.369574525429
18.192125558853,40.369852444631
18.192372322083,40.370285669336
18.192790746689,40.370947759074
18.193423748016,40.371560805136
18.1943410635,40.372386356199
18.19493919611,40.37270104687
18.19543004036,40.373162864634
18.195741176605,40.373620588923
18.19629907608,40.374012921554
18.19700717926,40.374642283711
18.197286128998,40.375467801784
18.198198080063,40.375933683757
18.198637962341,40.376456775466
18.198713064194,40.376988036327
18.199367523193,40.377813525661
18.200172185898,40.378696215937
18.200526237488,40.378957751576
18.202435970306,40.379448128162
18.202940225601,40.379627932016
18.206298351288,40.381197108919
18.207188844681,40.381532188834
18.208369016647,40.382235033973
18.209291696549,40.383166701111
18.210353851318,40.384286319133
18.210825920105,40.384711278765
18.211555480957,40.385708288918
18.212317228317,40.38632119767
18.214892148972,40.387350871819
18.215224742889,40.387563342303
18.216737508774,40.38812720303
18.217638731003,40.388388702055
18.218400478363,40.388691059037
18.218894004822,40.388805464028
18.219398260117,40.388911697059
18.220020532608,40.388723746197
18.21993470192,40.389737033149
18.219655752182,40.390684946765
18.21897983551,40.39205775318
18.218379020691,40.392932085535
18.217059373856,40.394500952515
18.216501474381,40.395056584138
18.215600252151,40.394120995897
18.213878273964,40.393173137786
18.212789297104,40.392919828618
18.209275603294,40.392670604151
18.208159804344,40.392225266333
18.207451701164,40.391739068471
18.207119107246,40.391375439204
18.206904530525,40.390815691438
18.206003308296,40.390210995194
18.204737305641,40.389201794099
18.203482031822,40.388478592111
18.202795386314,40.387918820268
18.201631307602,40.387273238206
18.200762271881,40.386778832568
18.200488686562,40.386378402202
18.200236558914,40.386116895372
18.199973702431,40.385945280963
18.199903964996,40.385753235749
18.199941515923,40.385585706498
18.200075626373,40.385450865578
18.200054168701,40.385173010711
18.199582099915,40.384212768155
18.197479248047,40.381221627018
18.197157382965,40.381254317803
18.196856975555,40.381205281619
18.19659948349,40.380976445625
18.196588754654,40.380772127117
18.195859193802,40.380649535714
18.195301294327,40.380167340699
18.194196224213,40.3792192862
18.192479610443,40.377690928875
18.191900253296,40.37688178449
18.190044164658,40.375198079169
18.18834900856,40.373359032567
18.186299800873,40.371152110391
18.183424472809,40.36817673795
18.188477754593,40.365282980515
